Title, Datafield, Mean, median, standard deviation, variance, min, max
Background 1,XinV,-9.625851628968254e-05,-9.63216e-05,4.907883363694122e-06,2.408731911162553e-11,-0.000144959,-7.34334e-05
Background 1,YinV,0.00010960043093253967,0.000109673,4.939241658446893e-06,2.4396108160537216e-11,7.24797e-05,0.000154496
Background 1,RinV,-119.31413214285715,-119.25,2.591812521542401,6.717492146823978,-135.96,-93.12
Background 1,XinV,-9.625851628968254e-05,-9.63216e-05,4.907883363694122e-06,2.408731911162553e-11,-0.000144959,-7.34334e-05
Background 1,YinV,0.00010960043093253967,0.000109673,4.939241658446893e-06,2.4396108160537216e-11,7.24797e-05,0.000154496
Background 1,RinV,-119.31413214285715,-119.25,2.591812521542401,6.717492146823978,-135.96,-93.12
Background 1,XinV,-9.625851628968254e-05,-9.63216e-05,4.907883363694122e-06,2.408731911162553e-11,-0.000144959,-7.34334e-05
Background 1,YinV,0.00010960043093253967,0.000109673,4.939241658446893e-06,2.4396108160537216e-11,7.24797e-05,0.000154496
Background 1,RinV,-119.31413214285715,-119.25,2.591812521542401,6.717492146823978,-135.96,-93.12
Background 1,XinV,-9.625851628968254e-05,-9.63216e-05,4.907883363694122e-06,2.408731911162553e-11,-0.000144959,-7.34334e-05
Background 1,YinV,0.00010960043093253967,0.000109673,4.939241658446893e-06,2.4396108160537216e-11,7.24797e-05,0.000154496
Background 1,RinV,-119.31413214285715,-119.25,2.591812521542401,6.717492146823978,-135.96,-93.12
Background 1,XinV,-9.625851628968254e-05,-9.63216e-05,4.907883363694122e-06,2.408731911162553e-11,-0.000144959,-7.34334e-05
Background 1,YinV,0.00010960043093253967,0.000109673,4.939241658446893e-06,2.4396108160537216e-11,7.24797e-05,0.000154496
Background 1,RinV,-119.31413214285715,-119.25,2.591812521542401,6.717492146823978,-135.96,-93.12
